"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"1";"0101";"Ambérieu-en-Bugey";2660,57432670149;29712;1059;11842;8,95454471830064;8,94274615774362
"2";"0102";"Attignat";2113,46991499091;24004;1344;15953;8,8046572029283;8,42474769635805
"3";"0103";"Bellegarde-sur-Valserine";1992,26784320228;21056;579;6854;9,46175837387103;8,44762182667056
"4";"0104";"Belley";2417,00097310609;22362;984;9505;10,8085187957521;10,35244608101
"5";"0105";"Bourg-en-Bresse-1 (Partiel)";569,607915597885;6258;0;0;9,10207599229602;NA
"6";"0106";"Bourg-en-Bresse-2 (Partiel)";1545,18653239478;12590;303;4813;12,2731257537313;6,29544982339497
"7";"0107";"Ceyzériat";2048,29391891395;24922;1203;16755;8,21881838902959;7,17994628469114
"8";"0108";"Châtillon-sur-Chalaronne";2932,97217820053;29483;2077;20737;9,94801132245879;10,0159135844143
"9";"0109";"Gex";1785,36973942227;28702;155;5696;6,22036701073888;2,72120786516854
"10";"0110";"Hauteville-Lompnes";2541,69234587863;21506;2347;18630;11,8185266710622;12,5979602791197
"11";"0111";"Lagnieu";2524,09749772285;32133;1292;16905;7,85515668541017;7,64270925761609
"12";"0112";"Meximieux";2360,66891059398;32208;558;12090;7,32944892757694;4,61538461538462
"13";"0113";"Miribel";2381,51206577117;27340;818;13723;8,71072445417401;5,96079574437076
"14";"0114";"Nantua";1687,45139851151;21045;1156;17994;8,01830077696132;6,42436367678115
"15";"0115";"Oyonnax";2270,37969185521;25668;1716;27244;8,84517567342686;6,29863456173836
"16";"0116";"Pont-d'Ain";1871,81277363932;21410;1540;15909;8,74270328649846;9,6800553146018
"17";"0117";"Replonges";3094,4628341577;30382;2371;22612;10,1851847612326;10,4855828763488
"18";"0118";"Saint-Étienne-du-Bois";2189,0954548992;21585;1679;16772;10,1417440579069;10,0107321726687
"19";"0119";"Saint-Genis-Pouilly";1768,38012013331;30707;166;5986;5,75888273075621;2,7731373204143
"20";"0120";"Thoiry";1508,13861855093;26158;761;14956;5,76549666851797;5,08825889275207
"21";"0121";"Trévoux";2605,86981670066;31428;624;12721;8,29155471776972;4,90527474255169
"22";"0122";"Villars-les-Dombes";2329,08426928948;31495;1396;21319;7,39509213935382;6,54814953797082
"23";"0123";"Vonnas";2040,95862451737;23345;1536;18711;8,74259423652759;8,20907487574154
